Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
									Anointed			anointed
									Bread			bread
									Father			father
									God			god
									Holy			holy
									Heaven			heaven		Also gets Heavens, Heavenly
									The Highest			the highest		God
									Instructors			instructors		Matt 23:10
									King			king
									Lamb			lamb
									˱of˲_Man			of_man
									Messiah			messiah
									Passover			passover
									Place			place
									Presence			presence
									, Rabbi			, rabbi
									Sabbath			sabbath
									Scripture			scripture		Also gets Scriptures
									Skull			skull
									Son			son
									Spirit			spirit

# These ones change the word also
									Baptist			immerser
									Christ			messiah
									Lord			master
									Unleavened			non-fermented

# Fix bugs
									On_One_Hand			On_one_hand
									You_All			You_all

# Recapitalise sentence beginnings
									? god			? God
